ncs_id,ncs_code,ncs_label,is_active
NCS_1005_G40Y,1005-G40Y,NCS 1005-G40Y,1
NCS_1005_G50Y,1005-G50Y,NCS 1005-G50Y,1
NCS_1005_G60Y,1005-G60Y,NCS 1005-G60Y,1
NCS_1005_G70Y,1005-G70Y,NCS 1005-G70Y,1
NCS_1005_G80Y,1005-G80Y,NCS 1005-G80Y,1
NCS_1005_G90Y,1005-G90Y,NCS 1005-G90Y,1
NCS_1005_R,1005-R,NCS 1005-R,1
NCS_1005_R10B,1005-R10B,NCS 1005-R10B,1
NCS_1005_R20B,1005-R20B,NCS 1005-R20B,1
NCS_1005_R30B,1005-R30B,NCS 1005-R30B,1
NCS_1005_R40B,1005-R40B,NCS 1005-R40B,1
NCS_1005_R50B,1005-R50B,NCS 1005-R50B,1
NCS_1005_R60B,1005-R60B,NCS 1005-R60B,1
NCS_1005_R70B,1005-R70B,NCS 1005-R70B,1
NCS_1005_R80B,1005-R80B,NCS 1005-R80B,1
NCS_1005_R90B,1005-R90B,NCS 1005-R90B,1
NCS_1005_Y,1005-Y,NCS 1005-Y,1
NCS_1005_Y10R,1005-Y10R,NCS 1005-Y10R,1
NCS_1005_Y20R,1005-Y20R,NCS 1005-Y20R,1
NCS_1005_Y30R,1005-Y30R,NCS 1005-Y30R,1
NCS_1005_Y40R,1005-Y40R,NCS 1005-Y40R,1
NCS_1005_Y50R,1005-Y50R,NCS 1005-Y50R,1
NCS_1005_Y60R,1005-Y60R,NCS 1005-Y60R,1
NCS_1005_Y70R,1005-Y70R,NCS 1005-Y70R,1
NCS_1005_Y80R,1005-Y80R,NCS 1005-Y80R,1
NCS_1005_Y90R,1005-Y90R,NCS 1005-Y90R,1
NCS_1010_B,1010-B,NCS 1010-B,1
NCS_1010_B10G,1010-B10G,NCS 1010-B10G,1
NCS_1010_B30G,1010-B30G,NCS 1010-B30G,1
NCS_1010_B50G,1010-B50G,NCS 1010-B50G,1
NCS_1010_B70G,1010-B70G,NCS 1010-B70G,1
NCS_1010_B90G,1010-B90G,NCS 1010-B90G,1
NCS_1010_G,1010-G,NCS 1010-G,1
NCS_1010_G10Y,1010-G10Y,NCS 1010-G10Y,1
NCS_1010_G20Y,1010-G20Y,NCS 1010-G20Y,1
NCS_1010_G30Y,1010-G30Y,NCS 1010-G30Y,1
NCS_1010_G40Y,1010-G40Y,NCS 1010-G40Y,1
NCS_1010_G50Y,1010-G50Y,NCS 1010-G50Y,1
NCS_1010_G60Y,1010-G60Y,NCS 1010-G60Y,1
NCS_1010_G70Y,1010-G70Y,NCS 1010-G70Y,1
NCS_1010_G80Y,1010-G80Y,NCS 1010-G80Y,1
NCS_1010_G90Y,1010-G90Y,NCS 1010-G90Y,1
NCS_1010_R,1010-R,NCS 1010-R,1
NCS_1010_R10B,1010-R10B,NCS 1010-R10B,1
NCS_1010_R20B,1010-R20B,NCS 1010-R20B,1
NCS_1010_R30B,1010-R30B,NCS 1010-R30B,1
NCS_1010_R40B,1010-R40B,NCS 1010-R40B,1
NCS_1010_R50B,1010-R50B,NCS 1010-R50B,1
NCS_1010_R60B,1010-R60B,NCS 1010-R60B,1
NCS_1010_R70B,1010-R70B,NCS 1010-R70B,1
NCS_1010_R80B,1010-R80B,NCS 1010-R80B,1
NCS_1010_R90B,1010-R90B,NCS 1010-R90B,1
NCS_1010_Y,1010-Y,NCS 1010-Y,1
NCS_1010_Y10R,1010-Y10R,NCS 1010-Y10R,1
NCS_1010_Y20R,1010-Y20R,NCS 1010-Y20R,1
NCS_1010_Y30R,1010-Y30R,NCS 1010-Y30R,1
